
{time(millis):10510;temperature(*C):18.73;pressure(hPa):970.59;altitude(m):361.39;IMU(deg) X:326.25;Y:44.06;Z:-63.81;}
{time(millis):10635;temperature(*C):18.73;pressure(hPa):970.62;altitude(m):361.10;IMU(deg) X:325.69;Y:44.25;Z:-63.81;}
{time(millis):10760;temperature(*C):18.73;pressure(hPa):970.65;altitude(m):360.83;IMU(deg) X:325.13;Y:44.38;Z:-63.81;}
{time(millis):10885;temperature(*C):18.73;pressure(hPa):970.68;altitude(m):360.59;IMU(deg) X:324.75;Y:44.63;Z:-64.25;}
{time(millis):11010;temperature(*C):18.73;pressure(hPa):970.69;altitude(m):360.50;IMU(deg) X:324.00;Y:45.19;Z:-64.44;}
{time(millis):11134;temperature(*C):18.73;pressure(hPa):970.67;altitude(m):360.66;IMU(deg) X:323.63;Y:45.50;Z:-65.31;}
{time(millis):11259;temperature(*C):18.73;pressure(hPa):970.66;altitude(m):360.80;IMU(deg) X:323.06;Y:46.00;Z:-65.62;}
{time(millis):11384;temperature(*C):18.73;pressure(hPa):970.63;altitude(m):361.04;IMU(deg) X:322.69;Y:46.13;Z:-66.31;}
{time(millis):11508;temperature(*C):18.73;pressure(hPa):970.60;altitude(m):361.26;IMU(deg) X:322.44;Y:46.13;Z:-66.94;}
{time(millis):11633;temperature(*C):18.73;pressure(hPa):970.59;altitude(m):361.41;IMU(deg) X:321.75;Y:46.56;Z:-66.87;}
{time(millis):11761;temperature(*C):18.73;pressure(hPa):970.55;altitude(m):361.74;IMU(deg) X:321.31;Y:46.56;Z:-66.62;}
{time(millis):11883;temperature(*C):18.73;pressure(hPa):970.50;altitude(m):362.16;IMU(deg) X:321.06;Y:46.19;Z:-66.37;}
{time(millis):12008;temperature(*C):18.74;pressure(hPa):970.48;altitude(m):362.33;IMU(deg) X:320.56;Y:46.06;Z:-65.31;}
{time(millis):12133;temperature(*C):18.74;pressure(hPa):970.48;altitude(m):362.34;IMU(deg) X:320.50;Y:45.56;Z:-65.12;}
{time(millis):12258;temperature(*C):18.74;pressure(hPa):970.45;altitude(m):362.58;IMU(deg) X:320.38;Y:45.06;Z:-65.00;}
{time(millis):12383;temperature(*C):18.74;pressure(hPa):970.43;altitude(m):362.75;IMU(deg) X:319.88;Y:44.94;Z:-64.31;}
{time(millis):12507;temperature(*C):18.74;pressure(hPa):970.43;altitude(m):362.79;IMU(deg) X:319.69;Y:44.25;Z:-63.38;}
{time(millis):12632;temperature(*C):18.74;pressure(hPa):970.41;altitude(m):362.94;IMU(deg) X:319.56;Y:43.63;Z:-62.81;}
{time(millis):12756;temperature(*C):18.74;pressure(hPa):970.48;altitude(m):362.30;IMU(deg) X:319.06;Y:43.56;Z:-62.56;}
{time(millis):12881;temperature(*C):18.74;pressure(hPa):970.53;altitude(m):361.89;IMU(deg) X:318.56;Y:43.69;Z:-62.75;}
{time(millis):13006;temperature(*C):18.74;pressure(hPa):970.51;altitude(m):362.03;IMU(deg) X:318.19;Y:43.69;Z:-62.69;}
{time(millis):13131;temperature(*C):18.74;pressure(hPa):970.47;altitude(m):362.46;IMU(deg) X:317.81;Y:43.75;Z:-62.81;}
{time(millis):13256;temperature(*C):18.74;pressure(hPa):970.41;altitude(m):362.96;IMU(deg) X:317.44;Y:43.75;Z:-62.88;}
{time(millis):13381;temperature(*C):18.74;pressure(hPa):970.37;altitude(m):363.32;IMU(deg) X:317.06;Y:43.88;Z:-63.06;}
{time(millis):13505;temperature(*C):18.74;pressure(hPa):970.32;altitude(m):363.73;IMU(deg) X:316.31;Y:44.44;Z:-62.94;}
{time(millis):13630;temperature(*C):18.74;pressure(hPa):970.29;altitude(m):363.97;IMU(deg) X:315.69;Y:45.00;Z:-63.19;}
{time(millis):13755;temperature(*C):18.74;pressure(hPa):970.26;altitude(m):364.27;IMU(deg) X:315.19;Y:45.31;Z:-63.81;}
{time(millis):13880;temperature(*C):18.74;pressure(hPa):970.25;altitude(m):364.29;IMU(deg) X:314.56;Y:45.69;Z:-64.06;}
{time(millis):14005;temperature(*C):18.74;pressure(hPa):970.26;altitude(m):364.20;IMU(deg) X:313.63;Y:46.38;Z:-63.81;}
{time(millis):14130;temperature(*C):18.74;pressure(hPa):970.27;altitude(m):364.14;IMU(deg) X:313.19;Y:46.50;Z:-63.81;}
{time(millis):14255;temperature(*C):18.74;pressure(hPa):970.29;altitude(m):363.97;IMU(deg) X:312.63;Y:46.56;Z:-63.50;}
{time(millis):14380;temperature(*C):18.74;pressure(hPa):970.31;altitude(m):363.76;IMU(deg) X:312.19;Y:46.44;Z:-63.13;}
{time(millis):14503;temperature(*C):18.74;pressure(hPa):970.30;altitude(m):363.92;IMU(deg) X:311.69;Y:46.50;Z:-62.94;}
{time(millis):14628;temperature(*C):18.74;pressure(hPa):970.25;altitude(m):364.30;IMU(deg) X:311.19;Y:46.56;Z:-63.19;}
{time(millis):14753;temperature(*C):18.75;pressure(hPa):970.22;altitude(m):364.58;IMU(deg) X:310.56;Y:46.88;Z:-63.75;}
